(1.0, 1.0, 0.0, 1.0, 0.71, 0.71),7.4060,7.4052,8.5986,7.4055
(0.0, 1.0, 0.0, 1.0, 0.75, 0.66),8.3592,7.4951,8.6853,7.4913
(0.0, 0.0, 1.0, 1.0, 0.8, 0.6),8.4423,8.7731,7.5772,7.5757
(1.0, 0.0, 1.0, 0.0, 0.76, 0.65),7.6725,8.8620,7.6696,8.5290
(1.0, 1.0, 0.0, 0.0, 0.71, 0.71),7.7607,7.7600,8.9519,8.6202
(0.0, 1.0, 0.0, 1.0, 0.77, 0.64),8.7093,7.8482,9.0427,7.8446
(0.0, 0.0, 1.0, 1.0, 0.83, 0.55),8.7986,9.1345,7.9351,7.9385
(1.0, 0.0, 1.0, 0.0, 0.78, 0.62),8.0293,9.2271,8.0313,8.8874
(1.0, 0.0, 1.0, 0.0, 0.71, 0.71),8.1201,9.3205,8.1139,8.9815
(1.0, 0.0, 1.0, 0.0, 0.6, 0.8),8.2071,9.4147,8.2183,9.0729
(1.0, 1.0, 0.0, 0.0, 0.45, 0.89),8.3085,8.3084,9.5099,9.1651
(0.0, 1.0, 0.0, 1.0, 0.55, 0.83),9.2581,8.4020,9.6059,8.4045
(0.0, 1.0, 0.0, 0.0, 0.71, 0.71),9.3539,8.4999,9.7030,9.4466
(1.0, 0.0, 0.0, 0.0, 0.83, 0.55),8.0553,9.3023,9.6986,7.5632
(0.0, 1.0, 0.0, 0.0, 0.89, 0.45),9.4507,8.5977,9.8010,9.5397
(1.0, 0.0, 1.0, 0.0, 0.89, 0.45),4.0776,8.9697,3.7165,0.6021
(1.0, 0.0, 1.0, 0.0, 0.93, 0.37),-0.6175,3.5577,-0.6480,0.0117
(0.0, 0.0, 1.0, 0.0, 1.0, 0.0),9.5504,9.9000,8.6970,9.6552
(1.0, 0.0, 1.0, 0.0, 1.0, 0.0),8.7998,10.0000,8.7989,9.6497
(0.0, 1.0, 1.0, 0.0, 0.0, 0.0),0.0000,0.0000,0.0000,0.0000
(1.0, 0.0, 0.0, 1.0, 0.95, 0.32),-0.3959,0.0011,1.2452,-0.5493
(0.0, 1.0, 0.0, 1.0, 0.99, 0.16),0.1374,0.3737,6.3752,0.3407
(0.0, 0.0, 1.0, 1.0, 1.0, 0.0),-0.0300,0.0000,-0.3960,-0.3960
(0.0, 1.0, 0.0, 1.0, 0.99, 0.12),-0.0300,0.0000,0.0000,0.0000
(0.0, 1.0, 0.0, 1.0, 0.97, 0.24),-0.0300,0.0000,0.0000,-0.3960
(0.0, 1.0, 0.0, 1.0, 0.94, 0.35),-0.0732,-0.5368,0.0000,-0.5368
(1.0, 1.0, 0.0, 1.0, 0.89, 0.45),-0.2200,-0.2200,0.0000,-0.2200
(0.0, 0.0, 0.0, 1.0, 0.95, 0.32),9.2469,9.6651,9.7994,8.4478
